Empresa	Continente	Setor	NºEmpregados	Receita milhoes	Lucros milhoes	Total ativos milhoes
UnitedHealth Group	America_do_Norte	Health Care	440000	371622	22381	273720
CVS Health	América do Norte	Health Care	259500	357776	8344	249728
McKesson	América do Norte	Health Care	48000	308951	3002	67443
Cencora	América do Norte	Health Care	44000	262173	1745	62558
Cardinal Health	América do Norte	Health Care	47520	205012	261	43417
Cigna	América do Norte	Health Care	71413	195265	5164	152761
Elevance Health	América do Norte	Health Care	104900	171340	5987	108928
Centene Corporation	América do Norte	Health Care	67700	153999	2702	84641
Humana	América do Norte	Health Care	67600	106374	2489	47065
Sinopharm	Ásia	Health Care	202426	96072	1149	82842
Johnson & Johnson	América do Norte	Health Care	131900	95195	35153	167558
Roche Group	Europa	Health Care	103605	67269	12797	107533
HCA Healthcare	América do Norte	Health Care	265000	64968	5242	56211
Merck	América do Norte	Health Care	71000	60115	365	106675
Pfizer	América do Norte	Health Care	88000	58496	2119	226501
Abbvie	América do Norte	Health Care	50000	54318	4863	134711
Novartis	Europa	Health Care	76057	54088	14850	99945
Bayer	Europa	Health Care	99723	51498	-3179	128406
Phoenix Pharma	Europa	Health Care	41276	50934	234	15538
Sanofi	Europa	Health Care	86088	50208	5837	139677
AstraZeneca	Europa	Health Care	89900	45811	5955	101119
Bristol-Myers Squibb	América do Norte	Health Care	34100	45006	8025	95159
Thermo Fisher Scientific	América do Norte	Health Care	114000	42857	5995	98726
Abbott Laboratories	América do Norte	Health Care	114000	40109	5723	73214
GSK	Europa	Health Care	70212	37691	6124	75203
Shanghai Pharmaceuticals Holding	Ásia	Health Care	48164	36768	532	29864
Guangzhou Pharmaceutical Holdings	Ásia	Health Care	35391	36309	324	11794
Eli Lilly	América do Norte	Health Care	43000	34124	5240	64006
Molina Healthcare	América do Norte	Health Care	18000	34072	1091	14892
Novo Nordisk	Europa	Health Care	63845	33703	12143	46607
Alphabet	América do Norte	Technology	182502	307394	73795	402392
Microsoft	América do Norte	Technology	221000	211915	72361	411976
Samsung Electronics	Ásia	Technology	267860	198256	11082	351937
Hon Hai Precision Industry	Ásia	Technology	621393	197876	4563	128550
Meta Platforms	América do Norte	Technology	67317	134902	39098	229623
Huawei Investment & Holding	Ásia	Technology	207000	99470	12274	178027
Sony	Ásia	Technology	113000	90091	6716	225549
Dell Technologies	América do Norte	Technology	120000	88425	3211	82089
Tencent Holdings	Ásia	Technology	105417	86028	16275	222216
Taiwan Semiconductor Manufacturing	Ásia	Technology	76478	69415	27350	180508
Hitachi	Ásia	Technology	268655	67313	4082	80818
LG Electronics	Ásia	Technology	74000	64490	546	46503
Accenture	Europa	Technology	732819	64111	6872	51245
IBM	América do Norte	Technology	296600	61860	7502	135241
Nvidia	América do Norte	Technology	29600	60922	29760	65728
Panasonic Holdings	Ásia	Technology	228420	58787	3072	62235
Cisco	América do Norte	Technology	84900	56998	12613	101852
Lenovo Group	Ásia	Technology	69500	56863	1011	38751
Intel	América do Norte	Technology	124800	54228	1689	191572
HP	América do Norte	Technology	58000	53718	3263	37004
Oracle	América do Norte	Technology	164000	49954	8503	134384
Pegatron	Ásia	Technology	147360	40356	505	18176
Xiaomi	Ásia	Technology	33627	38276	2469	45683
Uber Technologies	América do Norte	Technology	30400	37281	1887	38699
Qualcomm	América do Norte	Technology	50000	35820	7232	51040
Broadcom	América do Norte	Technology	20000	35819	14082	72861
China Electronics	Ásia	Technology	183469	35390	27	61089
Quanta Computer	Ásia	Technology	56708	34860	1274	22518
Salesforce	América do Norte	Technology	72682	34857	4136	99823
Jabil	América do Norte	Technology	236000	34702	818	19424
SAP	Europa	Technology	107602	34542	6637	75475
Luxshare Precision Industry	Ásia	Technology	232585	32758	1547	22823
State Grid	Ásia	Energy	1361423	545947	9204	781126
Saudi Aramco	Oriente Médio	Energy	73311	494890	120699	660819
Sinopec Group	Ásia	Energy	513434	429699	9339	382688
China National Petroleum	Ásia	Energy	1026301	421713	21294	630562
Exxon Mobil	América do Norte	Energy	61	344582	36010	376317
Shell	Europa	Energy	103000	323183	19359	406270
TotalEnergies	Europa	Energy	102579	218945	21384	283654
Glencore	Europa	Energy	83426	217829	4280	123869
BP	Europa	Energy	79	213032	15239	280294
Chevron	América do Norte	Energy	45	200949	21369	261632
Electricite de France	Europa	Energy	171862	151040	10827	402929
Marathon Petroleum	América do Norte	Energy	18	150307	9681	85987
Phillips 66	América do Norte	Energy	14000	149890	7015	75501
